x,y,insect.M.distribution70t3.2_PA2_RUN2 logistic values
-131.5,78.9,0.046838053
-120.7,75.1,0.0016867991
66.9,64.3,0.3518829
4.5,64.1,2.8445295E-4
39.1,59.9,0.54326236
19.7,58.7,0.031906053
16.9,56.1,0.14748882
41.1,53.5,0.12678477
-37.7,51.7,0.0012856153
30.7,50.5,0.14319883
14.7,42.9,0.1429365
27.9,42.5,0.15260592
64.7,39.9,0.007712885
55.9,37.1,0.16613728
5.10000000000002,36.1,0.017071912
-5.69999999999999,35.5,0.054100074
72.7,33.9,0.0012600325
12.3,33.7,0.5426398
73.3,32.3,0.015241327
14.7,26.7,0.6643219
78.5,22.9,5.4634735E-4
21.7,14.5,0.4008454
98.5,12.7,0.013086488
30.7,5.89999999999999,0.043344058
-2.29999999999998,1.3,0.045272227
21.1,0.699999999999989,0.04410263
14.7,0.0999999999999943,0.061831042
-45.5,-0.900000000000006,0.050762903
-12.9,-1.5,0.27444428
37.7,-2.7,0.055984076
13.5,-4.5,0.011108178
50.3,-4.7,0.66717046
-54.5,-5.90000000000001,0.2540019
-43.5,-7.30000000000001,0.07716431
-61.3,-7.7,6.457014E-4
-25.1,-13.5,0.0012839915
15.7,-15.1,0.090592064
-49.7,-19.7,0.041118592
-54.3,-19.9,4.5999382E-8
10.9,-20.9,2.4533682E-4
21.5,-23.5,0.002555593
29.9,-24.9,0.3254367
22.7,-25.1,2.2244574E-5
23.3,-27.1,5.1804073E-4
13.1,-32.7,0.1479842
20.9,-36.3,0.061600823
6.90000000000001,-39.1,0.0030223527
140.7,-51.3,0.27257207
130.9,-53.7,0.053140823
138.9,-54.9,0.2161706
127.5,-55.1,0.0052357153
144.5,-67.9,0.66709423
134.3,-71.9,0.01860648
87.1,-73.1,0.039600592
116.5,-74.1,0.6699424
6.90000000000001,-74.5,3.5930412E-7
113.9,-75.3,0.6690341
85.1,-78.5,9.970564E-4
92.5,-78.9,4.8318526E-4
89.5,-79.9,2.9212702E-4
