x,y,insect.M.distribution70t9.2_PA2_RUN2 logistic values
-131.3,78.9,0.33560804
-11.9,57.9,0.046973802
16.7,56.1,0.4621958
-37.7,51.7,0.1694607
25.7,50.7,0.5228562
30.3,50.5,0.49899673
80.3,48.9,0.016636826
-40.9,43.5,0.46673977
81.9,42.1,0.0030295502
71.7,41.9,0.05455849
64.7,39.9,0.2577758
5.10000000000002,36.1,0.32262245
72.7,33.9,0.17269477
12.5,33.7,0.6116749
50.3,32.3,0.5719965
73.3,32.3,0.3099445
72.3,31.9,0.35511756
11.1,31.5,0.6471893
14.7,26.7,0.63782066
-0.299999999999983,21.3,0.43500727
21.9,14.5,0.5908231
12.1,12.7,0.36775783
-7.5,5.09999999999999,0.3023929
13.1,4.69999999999999,0.40560478
42.7,1.09999999999999,0.5542691
-13.5,0.0999999999999943,0.21012138
-10.3,0.0999999999999943,0.30652985
2.70000000000002,-0.700000000000003,0.07840306
13.5,-0.900000000000006,0.33904326
44.3,-1.5,0.6031352
54.5,-4.30000000000001,0.6217793
23.9,-4.5,0.38834018
37.3,-5.90000000000001,0.32837227
27.9,-7.7,0.49195516
20.1,-10.7,0.27379167
-40.5,-12.9,0.27083185
-24.7,-13.5,0.16302247
31.3,-17.5,0.6139013
-53.7,-19.9,0.00829905
7.30000000000001,-20.9,0.032062266
-39.5,-22.3,0.2644166
26.3,-24.9,0.0694552
25.9,-25.1,0.06906124
19.1,-27.7,0.06954963
12.3,-32.7,0.59680784
9.70000000000002,-33.9,0.6019146
20.5,-36.3,0.34619465
140.5,-51.3,0.5095094
104.7,-53.3,0.27910855
130.7,-53.7,0.406736
109.5,-54.7,0.2356991
138.9,-54.9,0.46711805
110.1,-55.5,0.2356991
86.9,-73.1,0.33575177
116.7,-74.1,0.617991
107.3,-74.7,0.6900324
113.9,-75.3,0.60870683
110.3,-77.3,0.5435086
89.9,-79.9,0.09635888
42.3,-80.3,0.35069862
