x,y,insect.M.distribution70t7.3_PA1_RUN2 logistic values
-151.3,81.3,0.44040018
-108.9,79.9,0.4243901
173.7,79.1,0.45046872
-174.3,77.9,0.6073157
-129.9,77.9,0.42974585
-8.09999999999999,69.1,0.2955647
-15.5,68.7,0.13031182
-4.89999999999998,66.5,0.38455966
5.70000000000002,64.3,0.29774788
-13.7,60.3,0.21125461
67.3,57.1,0.52422804
68.9,45.7,0.32083365
13.3,44.7,0.56308764
2.70000000000002,41.1,0.6207387
39.3,41.1,0.5775947
57.3,39.1,0.505454
16.5,30.7,0.6257173
-1.89999999999998,30.1,0.6242321
103.3,28.3,0.475155
74.3,27.5,0.44906503
84.3,26.5,0.12025208
31.5,24.5,0.6262417
48.9,20.9,0.48028934
7.70000000000002,20.3,0.5659809
37.5,13.1,0.5627982
106.5,12.3,0.50722015
12.3,11.1,0.47634122
117.9,10.3,0.3005949
117.3,10.1,0.3005949
1.10000000000002,8.3,0.28921062
35.1,8.3,0.48759615
114.1,7.3,0.5987501
22.9,6.3,0.4683247
43.1,2.09999999999999,0.60413504
31.9,1.3,0.45367798
-50.3,-0.5,0.36354443
-52.3,-3.5,0.4860037
35.5,-5.10000000000001,0.4468662
33.3,-6.30000000000001,0.49786073
36.3,-12.1,0.6142422
-34.5,-14.3,0.4349182
-55.9,-15.3,0.063868284
8.70000000000002,-17.5,0.27947167
57.5,-19.5,0.36261666
10.9,-20.1,0.19362074
11.5,-23.5,0.21979916
62.5,-24.1,0.3400036
58.3,-24.7,0.3281332
25.5,-32.7,0.5031617
9.90000000000001,-38.9,0.27773774
141.1,-48.9,0.4640397
100.5,-49.3,0.5936224
109.5,-52.1,0.18688688
141.7,-56.1,0.47103253
147.1,-56.5,0.4733404
136.5,-58.9,0.48033556
144.7,-60.3,0.5801338
120.1,-69.5,0.5434178
118.9,-70.7,0.5651821
59.1,-80.5,0.053034972
