x,y,insect.M.distribution70t3.1_PA2_RUN2 logistic values
-131.5,78.9,0.5
-120.7,75.1,0.5
-130.5,72.5,0.5
66.9,64.3,0.5
4.5,64.1,0.5
39.1,59.9,0.5
19.7,58.7,0.5
-37.7,51.7,0.5
25.7,50.7,0.5
30.7,50.5,0.5
44.7,50.1,0.5
80.5,48.9,0.5
14.7,42.9,0.5
71.7,41.9,0.5
55.9,37.1,0.5
-5.69999999999999,35.5,0.5
12.3,33.7,0.5
73.3,32.3,0.5
72.1,31.9,0.5
11.1,31.5,0.5
109.9,30.3,0.5
78.5,22.9,0.5
78.1,22.1,0.5
98.5,12.7,0.5
30.7,5.89999999999999,0.5
21.1,0.699999999999989,0.5
-6.09999999999999,0.0999999999999943,0.5
-12.9,-1.5,0.5
21.5,-1.7,0.5
37.7,-2.7,0.5
50.3,-4.7,0.5
-54.5,-5.90000000000001,0.5
-45.5,-7.10000000000001,0.5
-61.3,-7.7,0.5
5.10000000000002,-10.7,0.5
63.7,-12.9,0.5
-25.1,-13.5,0.5
15.7,-15.1,0.5
-49.7,-19.7,0.5
-54.3,-19.9,0.5
10.9,-20.9,0.5
-37.5,-22.3,0.5
21.5,-23.5,0.5
29.9,-24.9,0.5
23.3,-27.1,0.5
0.700000000000017,-30.1,0.5
13.1,-32.7,0.5
20.9,-36.3,0.5
6.90000000000001,-39.1,0.5
140.7,-51.3,0.5
104.3,-53.3,0.5
138.9,-54.9,0.5
143.7,-59.3,0.5
144.5,-67.9,0.5
134.3,-71.9,0.5
87.1,-73.1,0.5
107.7,-74.7,0.5
110.7,-77.3,0.5
145.5,-78.1,0.5
42.3,-80.3,0.5
