x,y,insect.M.distribution90t1.3_PA2_RUN1 logistic values
-163.9,78.9,0.15306732
163.7,77.1,0.15800136
1.5,65.3,0.37569258
2.10000000000002,61.1,0.3860294
-15.3,60.1,0.043566752
15.1,59.3,0.59447217
-9.29999999999998,55.9,0.06579866
-10.9,55.7,0.020995546
64.7,54.7,0.5913686
89.9,52.9,0.060087085
29.7,52.3,0.5126667
76.7,51.7,0.15341891
79.7,50.1,0.039502304
10.3,45.3,0.5714499
47.3,44.7,0.5105981
72.1,44.5,0.1579524
69.9,44.1,0.139841
15.3,43.9,0.58592004
56.1,42.5,0.5832658
9.10000000000002,40.9,0.58639956
-50.3,40.3,0.40519783
-24.3,40.3,0.47338742
-42.9,39.9,0.33838758
-52.9,38.7,0.4156402
6.70000000000002,38.7,0.5864907
63.1,38.7,0.43330672
89.1,37.9,0.0056396415
87.5,37.7,0.0056049344
79.1,31.7,0.53202015
122.9,15.1,0.272247
93.7,14.7,0.58233476
6.30000000000001,6.69999999999999,0.10048339
-0.0999999999999943,5.5,0.2530499
17.3,0.899999999999991,0.26509622
-31.1,-1.7,0.5094987
32.9,-2.10000000000001,0.37111753
-7.89999999999998,-3.30000000000001,0.46583423
6.5,-4.90000000000001,0.57902086
-42.9,-8.30000000000001,0.5420567
-29.7,-8.5,0.51482093
-55.9,-8.90000000000001,0.32528722
-40.1,-15.9,0.4648149
-45.7,-25.1,0.018271782
15.1,-26.9,0.17453246
23.1,-27.3,0.098756894
57.1,-28.5,0.583231
58.9,-31.7,0.5836018
46.3,-35.9,0.4594533
103.5,-53.1,0.21145844
94.5,-54.3,0.51755506
113.1,-57.5,0.4321996
64.5,-64.5,0.61110705
9.5,-67.7,0.60368234
97.9,-68.1,0.58806705
101.5,-68.5,0.5834282
47.3,-69.1,0.13547373
139.7,-70.7,0.47089425
13.1,-71.1,0.58539724
38.5,-71.1,0.1578145
26.5,-73.3,0.2051977
