x,y,insect.M.distribution210t9.1_PA1_RUN1 logistic values
94.9,77.5,0.57025146
93.7,75.1,0.6267275
92.5,74.1,0.262701
69.3,72.1,0.05431006
25.5,68.5,0.047665693
40.1,68.5,0.022075955
66.7,68.5,0.036783293
67.7,61.9,0.38396487
10.3,54.9,0.13139552
56.3,52.5,0.6747287
18.9,51.9,0.054461684
41.7,48.7,0.07088251
90.5,46.5,0.60261756
-13.1,45.9,0.03201002
34.1,43.7,0.026985252
-24.9,38.1,0.0691315
-42.5,33.9,0.057256
40.1,32.7,0.0
30.7,32.3,0.0
-25.7,30.9,0.0
-20.1,28.1,0.20362897
53.3,27.7,0.023723692
98.1,27.1,0.041573316
97.7,24.5,0.16890217
-1.89999999999998,24.3,0.0
7.5,21.3,0.8089674
-7.09999999999999,20.3,0.3900636
-39.9,19.3,0.07029254
94.1,18.7,0.034072556
-1.89999999999998,15.9,0.1164134
-38.7,14.5,0.032275613
-44.9,12.1,0.020799818
12.5,11.1,0.03840399
31.9,10.9,0.0026461706
-15.3,10.7,0.049490146
2.5,9.89999999999999,0.3057365
31.9,9.89999999999999,0.0026472856
2.30000000000001,7.89999999999999,0.40480363
-39.9,6.3,0.012557102
24.5,4.5,0.02275711
-20.5,3.09999999999999,0.008051212
-53.1,1.69999999999999,0.24487591
-36.1,-0.5,0.014835418
-18.3,-5.10000000000001,0.0034250186
17.5,-7.90000000000001,0.048053004
29.7,-12.9,0.029217053
2.90000000000001,-18.7,0.08124113
-32.9,-22.3,0.035016946
-33.5,-24.1,0.08929701
34.1,-28.1,0.16315569
-27.9,-32.5,0.124777295
62.7,-34.9,0.22222744
2.90000000000001,-35.7,0.34044248
66.7,-38.9,0.15800975
57.1,-39.9,0.10536543
36.9,-47.1,0.12361691
11.7,-48.3,0.046328012
-25.1,-53.9,0.025239613
66.5,-56.5,0.29474682
-18.9,-58.3,0.016107906
