x,y,insect.M.distribution150t1.3_PA2_RUN1 logistic values
168.7,77.7,0.5363438
120.3,72.9,0.5358633
143.9,71.1,0.5359004
60.1,64.7,0.3103683
-17.3,57.9,0.5359782
63.5,56.9,0.3877446
-42.1,55.5,0.5283014
27.7,54.1,0.4986187
16.5,53.1,0.5096919
38.9,48.5,0.5023504
79.3,44.1,0.49536294
74.9,43.7,0.50206923
42.3,42.1,0.49736905
43.3,42.1,0.4973701
50.5,40.1,0.49371302
9.90000000000001,35.1,0.49096456
-31.5,30.3,0.44027007
-30.1,29.7,0.48575068
85.5,26.5,0.49395284
84.9,23.7,0.48189917
-49.7,9.09999999999999,0.537168
11.3,8.69999999999999,0.49991664
-43.3,8.5,0.5367619
-27.7,6.89999999999999,0.53315705
110.5,5.5,0.53459823
-19.7,5.09999999999999,0.52801085
41.3,1.69999999999999,0.5365511
-15.1,1.5,0.53615826
-27.5,1.3,0.5362531
-25.9,1.09999999999999,0.5361571
21.5,0.899999999999991,0.53642905
-20.7,0.0999999999999943,0.5361381
2.5,-1.7,0.5361935
4.90000000000001,-5.5,0.5305988
-12.9,-15.7,0.49673483
-29.5,-15.9,0.49676865
13.9,-28.5,0.5006357
34.5,-36.1,0.4200932
43.9,-38.1,0.46749237
32.3,-38.3,0.46462938
16.9,-40.7,0.47196555
-12.5,-42.1,0.5059662
14.3,-46.1,0.5167115
15.7,-46.7,0.51604533
112.5,-48.9,0.46450368
54.7,-55.1,0.51961267
20.3,-55.5,0.52569735
22.9,-56.5,0.5179002
78.3,-57.7,0.4754001
86.5,-58.1,0.45605993
22.1,-60.5,0.51201767
32.9,-61.9,0.5068776
-15.3,-64.5,0.5098746
9.90000000000001,-65.5,0.5094199
51.5,-68.3,0.44749177
90.3,-68.9,0.23258568
83.1,-69.5,0.32571363
90.5,-70.5,0.23252419
81.1,-75.7,0.41488317
35.5,-80.3,0.0025839724
