x,y,insect.M.distribution200t3.3_PA2_RUN2 logistic values
104.1,70.1,0.8276835
115.3,69.7,0.6019519
-15.9,64.1,0.27993038
65.3,63.7,0.34088752
66.1,61.3,0.18218489
64.7,60.7,0.16267873
35.7,57.5,0.030570494
92.3,54.1,0.35085198
82.5,53.5,0.30214527
52.3,50.5,0.37210363
21.9,50.3,0.33412635
92.7,49.3,0.20626745
33.7,46.9,0.44186503
-23.9,40.9,0.20649928
-39.3,34.1,0.31499514
-45.7,33.3,0.27382576
77.7,32.9,0.6175982
53.3,31.7,0.62678754
40.1,30.3,0.62023216
59.9,25.9,0.6160221
72.5,25.5,0.6087246
0.900000000000006,22.9,0.6452831
-15.3,15.3,0.27490166
31.7,14.5,0.6966086
-17.9,12.1,0.3522357
-55.1,6.89999999999999,0.21337116
8.10000000000002,6.69999999999999,0.2812972
-13.1,5.89999999999999,0.1863655
-37.7,3.3,0.21733975
-45.7,1.89999999999999,0.14784314
-48.1,0.899999999999991,0.14783296
12.7,0.0999999999999943,0.13962536
-29.9,-0.100000000000009,0.35088453
-12.7,-1.7,0.15631081
27.9,-5.30000000000001,0.2465024
-23.7,-16.3,0.25043675
2.70000000000002,-16.7,0.21937111
43.3,-20.5,0.3271193
25.9,-24.3,0.25005484
10.7,-25.5,0.25466707
3.30000000000001,-26.5,0.21048222
42.5,-28.1,0.3625027
19.9,-29.7,0.23047654
44.7,-29.9,0.38596737
28.1,-34.3,0.047728814
-8.29999999999998,-35.9,0.21182774
29.9,-35.9,0.04673046
26.1,-37.7,0.1910328
72.7,-39.9,0.34764674
81.3,-40.3,0.20564525
12.7,-40.5,0.39315474
-4.29999999999998,-45.3,0.6343639
86.5,-46.7,0.26246205
69.9,-47.9,0.34915912
58.5,-48.9,0.36764157
89.5,-50.1,0.23768926
52.3,-51.3,0.25342134
67.1,-56.5,0.30852032
74.9,-60.3,0.08567872
20.1,-63.3,0.462525
