x,y,insect.M.distribution180t1.2_PA2_RUN2 logistic values
99.5,81.7,0.49827135
94.3,80.7,0.5016719
105.9,78.5,0.5023123
89.3,78.1,0.4970268
94.1,77.7,0.5004164
100.1,76.7,0.49985078
106.5,68.9,0.4980189
48.1,67.9,0.49920496
33.9,58.9,0.51617557
37.3,58.3,0.51609373
5.10000000000002,55.9,0.5071891
62.3,54.9,0.51052535
62.7,54.7,0.51052535
33.1,54.5,0.50945014
5.30000000000001,51.9,0.499209
13.7,51.3,0.50323796
88.1,50.5,0.50776464
5.10000000000002,40.9,0.5009848
-11.1,39.3,0.4571666
60.3,38.3,0.47247973
121.7,38.3,0.4997343
-18.1,37.9,0.47325918
21.1,33.3,0.50658125
-31.5,31.1,0.43582413
90.7,28.9,0.46775657
-15.7,16.5,0.4586621
-20.7,5.89999999999999,0.49699757
-2.69999999999999,5.89999999999999,0.49355143
-21.7,2.09999999999999,0.49780107
4.70000000000002,0.0999999999999943,0.49701613
-32.9,-0.300000000000011,0.49588233
-40.3,-1.30000000000001,0.4959232
12.3,-1.5,0.4966878
-34.3,-1.90000000000001,0.49586964
26.1,-7.30000000000001,0.49691832
41.3,-8.90000000000001,0.4998098
-2.09999999999999,-9.10000000000001,0.4961196
20.1,-9.7,0.49888816
-19.7,-13.9,0.47641572
27.7,-18.9,0.48015302
7.70000000000002,-23.3,0.48428097
-18.9,-25.9,0.4827124
-3.29999999999998,-26.1,0.4837948
32.5,-28.5,0.4980243
-25.5,-31.3,0.5066633
-23.7,-36.1,0.40091008
16.7,-37.7,0.47052628
28.1,-39.5,0.44655374
-4.5,-41.5,0.48957115
82.3,-42.3,0.47813556
-26.1,-42.9,0.48763457
4.30000000000001,-44.5,0.48489264
8.70000000000002,-53.1,0.49875408
15.7,-61.1,0.5183078
52.9,-61.3,0.5250028
27.3,-64.5,0.55575126
2.5,-65.1,0.53170335
10.3,-65.7,0.5394331
6.30000000000001,-66.7,0.53359
27.3,-67.5,0.613968
