x,y,insect.M.distribution160t3.3_PA1_RUN1 logistic values
109.1,78.1,0.02241905
-157.5,77.3,0.5806988
94.9,72.9,0.22404654
109.9,72.9,0.06703444
69.7,64.9,0.18893915
41.1,57.5,0.39264703
22.3,56.9,0.5376414
73.3,48.3,0.5192762
88.1,47.5,0.512791
81.7,44.9,0.6715508
78.9,39.9,0.6188034
-49.9,34.1,0.3509198
-23.3,33.9,0.0654748
48.5,30.1,0.35566968
103.5,29.3,0.59821993
-7.09999999999999,28.5,0.41602182
-37.5,25.9,0.38956788
-56.7,20.5,0.6670043
24.9,17.7,0.3236268
-15.7,15.9,0.3328468
-41.7,13.3,0.44844627
14.3,12.3,0.3720022
101.7,12.1,0.5328329
-11.7,10.9,0.479561
16.7,10.9,0.45696908
-7.89999999999998,9.89999999999999,0.4705931
-48.9,1.5,0.5240791
114.9,0.699999999999989,0.60302556
-17.7,0.5,0.54935914
-37.1,-0.900000000000006,0.5460205
33.9,-2.5,0.51156306
5.90000000000001,-4.7,0.6306481
-25.3,-7.5,0.52889025
28.9,-7.5,0.49409616
-19.7,-8.5,0.5380671
0.900000000000006,-8.7,0.56006
40.3,-9.90000000000001,0.45344043
31.5,-13.1,0.42348257
-2.09999999999999,-23.9,0.561549
-20.9,-25.1,0.43556654
25.7,-25.7,0.5311717
16.5,-29.3,0.4378157
27.7,-30.7,0.30130816
34.9,-36.1,0.16628394
35.9,-38.9,0.14286387
-32.3,-40.9,0.12212065
40.3,-43.5,0.30415857
104.1,-43.5,0.34299487
80.1,-50.9,0.42861065
61.5,-51.3,0.32375294
5.10000000000002,-51.9,0.44372025
60.1,-56.5,0.34908324
89.9,-59.1,0.42063814
-18.3,-60.1,0.6505571
14.9,-60.1,0.49600106
85.1,-63.7,0.3473647
65.9,-63.9,0.35963622
4.30000000000001,-72.9,0.25856698
41.5,-76.1,0.1337114
47.5,-78.9,7.189457E-4
