"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"2","Italomyrmeleon bergomensis","species","Sevatian","",212,205.6,9.558333,45.797222,27.34,25.32,"Archizygoptera",21,21,12.4715,29.7815
"3","Triassagrion australiense","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Archizygoptera",23,21,94.2455,-56.8295
"18","Protomyrmeleon anglicanus","species","Rhaetian","",208.5,201.3,-2.216667,51.929443,8.95,34.71,"Archizygoptera",21,20,-0.5848,35.3176
"13100","Blattodea","order","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Blattodea",23,21,-24.6969,13.2982
"4410","Austromylacrites latus","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,94.2455,-56.8295
"45","Blattodea","order","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,94.2455,-56.8295
"4610","Austroblattula ipsviciensis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,94.2455,-56.8295
"5710","Blattodea","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Blattodea",24,20,3.4728,-46.3216
"200","Blattula incompleta","species","Rhaetian","",208.5,201.3,-2.14,52.060001,8.93,34.85,"Blattodea",21,20,-0.5947,35.4562
"244","Mesoblattinidae","family","Rhaetian","",208.5,201.3,-2,52,9.06,34.83,"Blattodea",21,20,-0.4685,35.4351
"321","Hongaya elegans","species","Rhaetian","",208.5,201.3,107.129997,20.965,124.71,33.87,"Blattodea",21,20,103.2173,29.9607
"322","Rhaetoblattina brevis","species","Rhaetian","",208.5,201.3,107.129997,20.965,124.71,33.87,"Blattodea",21,20,103.2173,29.9607
"323","Kebaona obscura","species","Rhaetian","",208.5,201.3,107.330002,21.030001,124.92,33.96,"Blattodea",21,20,103.4316,30.0289
"338","Actinoblattula charlesi","species","Rhaetian","",208.5,201.3,32.485001,41.779999,40.5,37.77,"Blattodea",21,20,999.99,999.99
"339","Blattula tchakrasensis","species","Rhaetian","",208.5,201.3,32.485001,41.779999,40.5,37.77,"Blattodea",21,20,999.99,999.99
