"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"92","Kridla stastia","species","Albian","",113,100.5,132.703003,50.818001,142.09,49.86,"Blattodea",11,10,122.7125,59.2693
"94","Blattodea","order","Early Cenomanian","",99.6,93.5,-0.9,45.948002,14.8,41.97,"Blattodea",10,9,1.4044,34.3625
"112","Santonitermes chloeae","species","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,1.5775,34.355
"113","Isoptera","infraorder","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,1.5775,34.355
"114","Isoptera","infraorder","Early Cenomanian","",99.6,93.5,-0.695,45.935001,14.99,41.95,"Blattodea",10,9,1.5775,34.355
"115","Syagriotermes salomeae","species","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,1.5775,34.355
"124","Kachinitermopsis burmensis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"125","Proelectrotermes swinhoei","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"126","Kachinitermes tristis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"137","Aragonitermes teruelensis","species","Late Albian","",105.3,99.6,-0.815,40.799999,16.53,36.89,"Blattodea",11,10,1.8103,28.2365
"139","Morazatermes krishnai","species","Late Albian","",105.3,99.6,-2.72,42.639999,15.72,39.13,"Blattodea",11,10,0.7716,30.3781
"140","Cantabritermes simplex","species","Late Albian","",105.3,99.6,-2.72,42.639999,15.72,39.13,"Blattodea",11,10,0.7716,30.3781
"146","Mylacrotermes cordatus","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"147","Dharmatermes avernalis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"148","Tanytermes anawrahtai","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"149","Proelectrotermes holmgreni","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"160","Batola nikolai","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,1.5784,34.3551
"161","Globula lake","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,1.5784,34.3551
"162","Leptolythica vincenti","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,1.5784,34.3551
"163","Sivis odpo","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,1.5784,34.3551
"166","Nula sis","species","Cenomanian","",100.5,93.9,5.983333,44.156387,21.04,39.84,"Blattodea",10,9,7.3447,32.826
"167","Blattella lengleti","species","Early Cenomanian","",99.6,93.5,-0.175,45.700001,15.45,41.69,"Blattodea",10,9,2.0269,34.1346
"171","Cretatermes carpenteri","species","Cenomanian","",100.5,93.9,-66.75,54.687,-17.13,54.86,"Blattodea",10,9,-26.8776,45.4811
"172","Archeorhinotermes rossi","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"303","Mesoblattina wuweiensis","species","Late Jurassic","Early Cretaceous",163.5,100.5,102.239998,38.049999,111.09,35.22,"Blattodea",16,10,95.2352,40.4573
"372","Mieroblattina pacis","species","Middle Cenomanian","",99.6,93.5,35.685001,34.056999,41.93,16.62,"Blattodea",10,9,30.1262,11.6715
"448","Strictiblatta longanusis","species","Late Cretaceous","",100.5,66,117.309998,31.82,117.17,30.07,"Blattodea",10,7,112.5731,37.3769
"458","Mesoblattininae","subfamily","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,2.2812,36.2684
"459","Isoptera","infraorder","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,2.2812,36.2684
"460","Mastotermes sarthensis","species","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,2.2812,36.2684
"477","Grandocularis kurnubinsi","species","Albian","",113,100.5,35.540001,32.110001,42.99,12.73,"Blattodea",11,10,29.0284,8.4284
"478","Ardatermes kudaludi","species","Albian","",113,100.5,35.540001,32.110001,42.99,12.73,"Blattodea",11,10,29.0284,8.4284
"479","Lutetiatermes priscus","species","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,2.2812,36.2684
"480","Lutetiatermes","genus","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,2.2812,36.2684
"517","Manipulator modificaputis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"523","Ginormotermes rex","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"524","Euisoptera","unranked clade","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"525","Krishnatermes yoddha","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"528","Krishnatermes","genus","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"534","Balatronis cretacea","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"541","Elisama extenuata","species","Albian","",113,100.5,128.634995,36.189999,137.76,37.31,"Blattodea",11,10,119.8926,46.4444
"542","Blattula hymena","species","Albian","",113,100.5,128.634995,36.189999,137.76,37.31,"Blattodea",11,10,119.8926,46.4444
"543","Mesoblattinidae","family","Albian","",113,100.5,128.634995,36.189999,137.76,37.31,"Blattodea",11,10,119.8926,46.4444
"544","Mesoblattina","genus","Albian","",113,100.5,128.110001,35.158001,137.84,36.2,"Blattodea",11,10,120.1517,45.3424
"545","Mesoblattinidae","family","Albian","",113,100.5,128.110001,35.158001,137.84,36.2,"Blattodea",11,10,120.1517,45.3424
"546","Mesoblattina","genus","Albian","",113,100.5,128.052002,35.082001,137.83,36.11,"Blattodea",11,10,120.1506,45.2528
"547","Mesoblattinidae","family","Albian","",113,100.5,128.052002,35.082001,137.83,36.11,"Blattodea",11,10,120.1506,45.2528
"548","Mesoblattinidae","family","Albian","",113,100.5,128.367996,35.75,137.76,36.82,"Blattodea",11,10,119.9633,45.9566
"549","Blattula","genus","Albian","",113,100.5,128.414993,35.869999,137.74,36.94,"Blattodea",11,10,119.9189,46.0787
"550","Mesoblattinidae","family","Albian","",113,100.5,128.414993,35.869999,137.74,36.94,"Blattodea",11,10,119.9189,46.0787
"551","Blattula","genus","Albian","",113,100.5,128.110001,35.158001,137.84,36.2,"Blattodea",11,10,120.1517,45.3424
"552","Mesoblattinidae","family","Albian","",113,100.5,128.154999,35.220001,137.85,36.27,"Blattodea",11,10,120.1502,45.4145
"560","Ol xiai","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"561","Nodosigalea burmanica","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"562","Spinka fussa","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"564","Bimodala ohmkuhnlei","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"568","Magniocula apiculata","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"579","Liberiblattinidae","family","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"581","Spinaeblattina myanmarensis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"582","Huablattula hui","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"583","Huablattula jiewenae","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"584","Huablattula","genus","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"585","Anisotermes xiai","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"587","Mastotermes monostichus","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"589","Pabuonqed eulna","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"592","Cretaperiplaneta kaonashi","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
