"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"6","Protomyrmeleon grandis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,74.0266,42.8759
"8","Protomyrmeleon karatauensis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,74.0266,42.8759
"9","Protomyrmeleon kazakhstanensis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,74.0266,42.8759
"12","Protomyrmeleon pumilio","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,74.0266,42.8759
"13","Protomyrmeleon","genus","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,74.0266,42.8759
"19","Protomyrmeleon handlirschi","species","Callovian","Oxfordian",166.1,157.3,69.916,42.262001,78.13,40.41,"Archizygoptera",17,16,74.1883,42.2488
"20","Protomyrmeleon angustovenosus","species","Callovian","Oxfordian",166.1,157.3,69.916,42.262001,78.13,40.41,"Archizygoptera",17,16,74.1883,42.2488
"26","Protomyrmeleon brunonis","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.7184,43.5586
"27","Protomyrmeleon pascholdi","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.7184,43.5586
"29","Obotritagrion petersi","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.7184,43.5586
"30","Obotritagrion tenuiformum","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.7184,43.5586
"48","Protomyrmeleon","genus","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.7184,43.5586
"14100","Blattula colorata","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"15100","Blattula aberrans","species","Bajocian","Bathonian",170.3,166.1,93.169998,56.165001,93.96,59.78,"Blattodea",17,17,89.9508,60.2518
"16100","Blattula extensa","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"17100","Blattula iensis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"18100","Blattula similis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"19100","Blattula cubitalis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"2072","Blattula isotoma","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"21100","Blattulites bilineatus","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.0041,59.8296
"2712","Blattula curvula","species","Callovian","Oxfordian",166.1,157.3,117.605003,40.959999,128.08,48.7,"Blattodea",17,16,122.4528,44.2161
"4210","Blattula liaoningensis","species","Callovian","Oxfordian",166.1,157.3,120.349998,40.966667,131.16,49.15,"Blattodea",17,16,125.342,44.1522
