"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"55","Protomyrmeleon brunonis","species","Sinemurian","",199.3,190.8,-2.925,50.73,10.33,37.17,"Archizygoptera",20,19,5.4893,38.0506
"41","Blattodea","order","Sinemurian","",199.3,190.8,28.75,-30.42,16.11,-44.39,"Blattodea",20,19,-2.5994,-43.1756
"49","Nannoblattina petulantia","species","Obtusum","",196.5,189.6,-2.92,50.73,10.81,37.91,"Blattodea",20,19,5.4932,38.0514
"151","Mesoblattina multivenosa","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"154","Blattula kiensis","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"155","Blattula turanica","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"156","Blattula elongata","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"157","Blattula","genus","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"158","Kokandoblattina analis","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"159","Blattodea","order","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,76.0979,45.9565
"302","Mesoblattina multivenosa","species","Pliensbachian","",190.8,182.7,110.614998,30.959999,132.74,40.6,"Blattodea",19,18,115.7942,37.797
"367","Blattula zaoshangensis","species","Sinemurian","",199.3,190.8,113.849998,28.014999,135.3,41.41,"Blattodea",20,19,119.9502,35.456
"369","Blattula kiensis","species","Sinemurian","",199.3,190.8,113.849998,28.014999,135.3,41.41,"Blattodea",20,19,119.9502,35.456
"21101","Metacupes harrisi","species","Hettangian","Sinemurian",201.3,190.8,-3.570556,51.465279,9.24,37.3,"Coleoptera",20,19,4.7655,38.6694
"5511","Ovivagina longa","species","Hettangian","Sinemurian",201.3,190.8,86,44.174999,97.06,61.82,"Coleoptera",20,19,88.8679,53.214
