"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"23","Protomyrmeleon cretacicus","species","Late Hauterivian","",136.4,130,-0.325,51.133331,22.76,35.83,"Archizygoptera",14,13,10.0664,41.6462
"1120","Blattodea","order","Late Barremian","",130,125.45,-1.880849,40.064526,21.31,26.91,"Blattodea",13,13,7.9785,30.8905
"2417","Valditermes brenanae","species","Late Hauterivian","",136.4,130,-0.325,51.133331,22.76,35.83,"Blattodea",14,13,10.0664,41.6462
"4100","Sinoblatta laiyangensis","species","Late Barremian","Early Aptian",130,122.46,119.312134,41.156223,130.62,39.94,"Blattodea",13,12,121.2424,42.4434
"9100","Elisama extenuata","species","Late Barremian","",130,125.45,120.834999,41.615002,128.6,41.74,"Blattodea",13,13,122.7434,42.991
"10","Elisama cuboides","species","Late Barremian","",130,125.45,120.834999,41.615002,128.6,41.74,"Blattodea",13,13,122.7434,42.991
"11","Macaroblattula ellipsoides","species","Late Barremian","",130,125.45,120.834999,41.615002,128.6,41.74,"Blattodea",13,13,122.7434,42.991
"2512","Karatavoblatta formosa","species","Late Barremian","",130,125.45,119.254997,41.169998,127.28,40.95,"Blattodea",13,13,121.1828,42.4537
"2615","Nipponoblatta acerba","species","Late Barremian","Early Aptian",130,122.46,120.834999,41.615002,128.6,41.74,"Blattodea",13,12,122.7434,42.991
"2818","Elisama extenuata","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,119.8667,42.3563
"2924","Blattula platypa","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,119.8667,42.3563
"3010","Blattula delicatula","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,119.8667,42.3563
"84","Mesoblattina colominasi","species","Early Barremian","",130,125.45,0.89,42.02,24.48,27.37,"Blattodea",13,13,11.2106,31.637
"85","Blattodea","order","Early Barremian","",130,125.45,0.89,42.02,24.48,27.37,"Blattodea",13,13,11.2106,31.637
"86","Artitocoblatta hispanica","species","Early Barremian","",130,125.45,0.89,42.02,24.48,27.37,"Blattodea",13,13,11.2106,31.637
"88","Piniblattella sharingolensis","species","Barremian","",129.4,125,109.845001,45.353001,117.4,43.32,"Blattodea",13,12,111.4907,46.5103
"89","Elisama fragmentaria","species","Barremian","",129.4,125,109.845001,45.353001,117.4,43.32,"Blattodea",13,12,111.4907,46.5103
"90","Svabula vzorkovana","species","Barremian","",129.4,125,109.845001,45.353001,117.4,43.32,"Blattodea",13,12,111.4907,46.5103
"91","Elisama fragmentaria","species","Barremian","",129.4,125,109.845001,45.3531,117.4,43.32,"Blattodea",13,12,111.4907,46.5104
"99","Mesoblattinidae","family","Late Hauterivian","",136.4,130,-1.440833,52.72139,22.05,37.47,"Blattodea",14,13,9.1093,43.2262
