"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"12100","Vrtula sama","species","Aptian","",125,113,107.922997,44.716,119.05,41.9,"Blattodea",12,11,103.2369,46.3957
"2471","Meiatermes araripena","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"3133","Blattula rudis","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"3210","Jitermes tsaii","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"3349","Yanjingtermes giganteus","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"3411","Yongdingia opipara","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"35","Huaxiatermes huangi","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"3610","Asiatermes reticulatus","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"3736","Mesotermopsis incompleta","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"38","Mesotermopsis lata","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,112.9237,42.6931
"92","Kridla stastia","species","Albian","",113,100.5,132.703003,50.818001,142.09,49.86,"Blattodea",11,10,126.2284,57.0359
"95","Elisama brevis","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"108","Khanitermes acutipennis","species","Aptian","",125,113,100.68,46.099998,111.97,41.97,"Blattodea",12,11,96.7872,46.9897
"109","Khanitermes acutipennis","species","Aptian","",125,113,99.125,45.450001,110.77,41.07,"Blattodea",12,11,95.5153,46.077
"111","Ptiloteuthis foliatus","species","Early Albian","",112.03,109,-122.559998,40.465,-71.29,47.15,"Blattodea",11,11,-76.9913,41.7096
"112","Santonitermes chloeae","species","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,6.7488,35.3447
"113","Isoptera","infraorder","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,6.7488,35.3447
"115","Syagriotermes salomeae","species","Late Albian","",105.3,99.6,-0.695,45.935001,17.26,42.97,"Blattodea",11,10,6.7488,35.3447
"137","Aragonitermes teruelensis","species","Late Albian","",105.3,99.6,-0.815,40.799999,16.53,36.89,"Blattodea",11,10,6.4096,29.4373
"139","Morazatermes krishnai","species","Late Albian","",105.3,99.6,-2.72,42.639999,15.72,39.13,"Blattodea",11,10,5.712,31.6836
"140","Cantabritermes simplex","species","Late Albian","",105.3,99.6,-2.72,42.639999,15.72,39.13,"Blattodea",11,10,5.712,31.6836
"141","Baissatermes lapideus","species","Aptian","",125,113,112.089996,53.299999,119.42,50.9,"Blattodea",12,11,104.8562,55.9845
"160","Batola nikolai","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,6.7497,35.3447
"161","Globula lake","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,6.7497,35.3447
"162","Leptolythica vincenti","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,6.7497,35.3447
"163","Sivis odpo","species","Late Albian","",105.3,99.6,-0.694,45.935001,17.26,42.97,"Blattodea",11,10,6.7497,35.3447
"164","Piniblattella limai","species","Late Aptian","",122.46,112.03,-39.720001,-7.14,2.57,-5,"Blattodea",12,11,-10.155,-10.5441
"165","Blattulopsis popovi","species","Aptian","",125,113,-70.127998,-48.549,-28.79,-44.94,"Blattodea",12,11,-40.4691,-52.4507
"180","Piniblattella limai","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"181","Piniblattella magna","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"182","Perlucipecta santanensis","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"183","Cratomastotermes wolfschwenningeri","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"186","Mariconitermes talicei","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"187","Cratokalotermes santanensis","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"188","Cretarhinotermes novaolindense","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"193","Laiyangia paradoxiformis","species","Aptian","",125,113,120.964996,37.049999,133.41,36.24,"Blattodea",12,11,118.7788,40.9154
"251","Mesoblattinidae","family","Aptian","",125,113,93.948997,46.377998,105.84,41.13,"Blattodea",12,11,90.1576,46.0245
"255","Gurvanoblatta mongolica","species","Aptian","",125,113,93.948997,46.377998,105.84,41.13,"Blattodea",12,11,90.1576,46.0245
"256","Gurvanoblatta ichesnurensis","species","Aptian","",125,113,93.948997,46.377998,105.84,41.13,"Blattodea",12,11,90.1576,46.0245
"257","Sinoblatta laiyangensis","species","Aptian","",125,113,120.964996,37.049999,133.41,36.24,"Blattodea",12,11,118.7788,40.9154
"290","Meiatermes hariolus","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-10.1354,-10.5284
"298","Methana","genus","Late Aptian","",122.46,112.03,145.97998,-38.575363,130.68,-83.32,"Blattodea",12,11,128.0259,-72.68
"303","Mesoblattina wuweiensis","species","Late Jurassic","Early Cretaceous",163.5,100.5,102.239998,38.049999,111.09,35.22,"Blattodea",16,10,99.7244,38.3947
