"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"5","Mongolagrion shartegensis","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Archizygoptera",15,14,98.1547,46.0957
"21","Protomyrmeleon jurassicus","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,18.8301,40.9199
"44","Malmagrion eichstattensis","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,18.8301,40.9199
"46","Malmagrion eichstattense","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,18.8301,40.9199
"51","Malmomyrmeleon viohli","species","Early Tithonian","",150.8,145,11.175,48.904999,23.89,32.08,"Archizygoptera",15,14,18.8567,40.9164
"52","Malmomyrmeleon viohli","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,18.8301,40.9199
"53","Protomyrmeleon","genus","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Archizygoptera",15,14,98.1547,46.0957
"54","Protomyrmeleon","genus","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Archizygoptera",15,14,98.1462,46.0925
"3115","Isoptera","infraorder","Kimmeridgian","Tithonian",157.3,145,-107.846802,44.541901,-40.98,31.5,"Blattodea",16,14,-54.6438,40.8784
"23100","Blattula udensis","species","Oxfordian","Kimmeridgian",163.5,152.1,111.25,52.369999,108.38,62,"Blattodea",16,15,111.397,56.3479
"66","Blattula choutinensis","species","Tithonian","",152.1,145,107.796997,45.591999,109.01,53.53,"Blattodea",15,14,110.5127,46.7142
"67","Blattula choutinensis","species","Tithonian","",152.1,145,107.796997,45.591,109.01,53.53,"Blattodea",15,14,110.5127,46.7132
"168","Lithoblatta lithophila","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Blattodea",15,14,18.8301,40.9199
"248","Mesoblattina deichmulleri","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Blattodea",15,14,18.8301,40.9199
"249","Megalocerca longipes","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Blattodea",15,14,18.8301,40.9199
"263","Progeotrupes jurassicus","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Blattodea",15,14,18.8301,40.9199
"303","Mesoblattina wuweiensis","species","Late Jurassic","Early Cretaceous",163.5,100.5,102.239998,38.049999,111.09,35.22,"Blattodea",16,10,104.5633,38.7379
"490","Blattula tuodianensis","species","Oxfordian","Kimmeridgian",163.5,152.1,101.644997,24.725,117.82,28.26,"Blattodea",16,15,107.0092,22.1777
"491","Blattula","genus","Oxfordian","Kimmeridgian",163.5,152.1,101.644997,24.725,117.82,28.26,"Blattodea",16,15,107.0092,22.1777
"492","Elisamoides mantiformis","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"493","Blattula mongolica","species","Tithonian","",152.1,145,95.793999,44.137001,96.03,49.83,"Blattodea",15,14,98.1736,46.0964
"494","Blattula mongolica","species","Tithonian","",152.1,145,95.775002,44.143002,96.01,49.83,"Blattodea",15,14,98.1525,46.0995
"495","Blattula mongolica","species","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Blattodea",15,14,98.1462,46.0925
"496","Blattula mongolica","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"497","Blattula vidlickai","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"498","Blattula vidlickai","species","Tithonian","",152.1,145,95.775002,44.143002,96.01,49.83,"Blattodea",15,14,98.1525,46.0995
"499","Blattula vidlickai","species","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Blattodea",15,14,98.1462,46.0925
"501","Blattula vidlickai","species","Tithonian","",152.1,145,95.765999,44.139,96,49.82,"Blattodea",15,14,98.1446,46.0943
"502","Blattula vidlickai","species","Tithonian","",152.1,145,95.793999,44.137001,96.03,49.83,"Blattodea",15,14,98.1736,46.0964
"504","Elisama pterostigmata","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"505","Elisama pterostigmata","species","Tithonian","",152.1,145,95.775002,44.143002,96.01,49.83,"Blattodea",15,14,98.1525,46.0995
"506","Elisama pterostigmata","species","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Blattodea",15,14,98.1462,46.0925
"507","Elisama pterostigmata","species","Tithonian","",152.1,145,95.765999,44.139,96,49.82,"Blattodea",15,14,98.1446,46.0943
"508","Elisama pterostigmata","species","Tithonian","",152.1,145,95.767998,44.140999,96,49.82,"Blattodea",15,14,98.146,46.0965
"509","Elisama pterostigmata","species","Tithonian","",152.1,145,95.793999,44.137001,96.03,49.83,"Blattodea",15,14,98.1736,46.0964
"510","Breviblattina minor","species","Tithonian","",152.1,145,95.793999,44.137001,96.03,49.83,"Blattodea",15,14,98.1736,46.0964
"511","Breviblattina minor","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"512","Mongolblatta accurata","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Blattodea",15,14,98.1547,46.0957
"513","Mongolblatta accurata","species","Tithonian","",152.1,145,95.775002,44.143002,96.01,49.83,"Blattodea",15,14,98.1525,46.0995
"514","Mongolblatta accurata","species","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Blattodea",15,14,98.1462,46.0925
"515","Mongolblatta accurata","species","Tithonian","",152.1,145,95.690002,44.09,95.96,49.75,"Blattodea",15,14,98.0821,46.0351
"605","Praeblattella jurassica","species","Tithonian","",152.1,145,99.169998,45.220001,98.64,51.88,"Blattodea",15,14,101.2839,47.6504
"606","Blattula bacharensis","species","Tithonian","",152.1,145,99.169998,45.220001,98.64,51.88,"Blattodea",15,14,101.2839,47.6504
"680","Praeblattella solus","species","Late Jurassic","Early Cretaceous",163.5,100.5,69.900002,41.799999,81.23,32.22,"Blattodea",16,10,73.4066,39.989
"3134","Ditomoptera dubia","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Coleoptera",15,14,18.8301,40.9199
"8410","Artematopodites maximus","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Coleoptera",15,14,98.1547,46.0957
"8510","Artematopodites crispulus","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Coleoptera",15,14,98.1547,46.0957
"8610","Artematopodites lepidus","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Coleoptera",15,14,98.1547,46.0957
"21910","Dermestidae","family","Kimmeridgian","",157.3,152.1,-107.779167,44.535557,-39.42,31.62,"Coleoptera",16,15,-54.583,40.8627
"3759","Coleoptera","order","Kimmeridgian","",157.3,152.1,8.708,52.292,21.89,35.4,"Coleoptera",16,15,16.3965,44.1781
"6251","Notocupes tripartitus","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Coleoptera",15,14,18.8301,40.9199
"6331","Parahygrobia natans","species","Oxfordian","Kimmeridgian",163.5,152.1,111.25,52.369999,108.38,62,"Coleoptera",16,15,111.397,56.3479
"6421","Stygeonectes jurassicus","species","Oxfordian","Kimmeridgian",163.5,152.1,111.25,52.369999,108.38,62,"Coleoptera",16,15,111.397,56.3479
"648","Stygeonectes jurassicus","species","Late Jurassic","",163.5,145,111.129997,49.439999,109.27,59.67,"Coleoptera",16,14,112.3804,53.4719
"660","Liadytes longus","species","Tithonian","",152.1,145,117.449997,51.860001,112.81,63.44,"Coleoptera",15,14,118.3339,56.682
"6611","Liadytes crassus","species","Tithonian","",152.1,145,116.93,51.709999,112.35,63.15,"Coleoptera",15,14,117.8204,56.4675
"6691","Novunda microplata","species","Tithonian","",152.1,145,116.93,51.709999,112.35,63.15,"Coleoptera",15,14,117.8204,56.4675
"6701","Novunda angulata","species","Tithonian","",152.1,145,117.449997,51.860001,112.81,63.44,"Coleoptera",15,14,118.3339,56.682
"6711","Novunda cursoria","species","Tithonian","",152.1,145,117.449997,51.860001,112.81,63.44,"Coleoptera",15,14,118.3339,56.682
"6821","Karatoma raptor","species","Tithonian","",152.1,145,116.93,51.709999,112.35,63.15,"Coleoptera",15,14,117.8204,56.4675
