"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"1","Protomyrmeleon grasselensis","species","Early Toarcian","",183,182,10.588,52.356998,26.11,43.16,"Archizygoptera",18,18,18.636,41.6102
"15","Protomyrmeleon","genus","Falciferum","",183,182,5.907,49.567001,23.72,39.52,"Archizygoptera",18,18,15.6565,38.2561
"25","Protomyrmeleon brunonis","species","Early Toarcian","",183,182,12.065,53.630001,26.6,44.67,"Archizygoptera",18,18,19.4027,43.0557
"26","Protomyrmeleon brunonis","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.4027,43.0557
"27","Protomyrmeleon pascholdi","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.4027,43.0557
"28","Protomyrmeleon brunonis","species","Early Toarcian","",183,182,12.105,53.615002,26.64,44.67,"Archizygoptera",18,18,19.4391,43.0468
"29","Obotritagrion petersi","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.4027,43.0557
"30","Obotritagrion tenuiformum","species","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.4027,43.0557
"31","Protomyrmeleon quadriordinum","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Archizygoptera",18,18,20.0095,43.6848
"32","Protomyrmeleon brunonis","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Archizygoptera",18,18,20.0095,43.6848
"33","Obotritagrion tenuiformum","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Archizygoptera",18,18,20.0095,43.6848
"48","Protomyrmeleon","genus","Toarcian","",182.7,174.1,12.065,53.630001,29.72,43.05,"Archizygoptera",18,17,19.4027,43.0557
"50","Protomyrmeleon brunonis","species","Falciferum","",183,182,5.907,49.567001,23.72,39.52,"Archizygoptera",18,18,15.6565,38.2561
"14100","Blattula colorata","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"16100","Blattula extensa","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"17100","Blattula iensis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"18100","Blattula similis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"19100","Blattula cubitalis","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"2072","Blattula isotoma","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"21100","Blattulites bilineatus","species","Toarcian","",182.7,174.1,100.309998,54.169998,111.72,65.52,"Blattodea",18,17,99.4583,62.3936
"3910","Blattula langfeldti","species","Early Toarcian","",183,182,10.746,52.361,26.23,43.2,"Blattodea",18,18,18.7604,41.6361
"61","Nipponoblatta suzugaminae","species","Early Toarcian","",183,182,131,34.25,155.74,45.25,"Blattodea",18,18,138.0098,43.9087
"68","Mesoblattina protypa","species","Early Toarcian","",183,182,12.105,53.615002,26.64,44.67,"Blattodea",18,18,19.4391,43.0468
"69","Mesoblattina protypa","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Blattodea",18,18,20.0095,43.6848
"70","Mesoblattina protypa","species","Early Toarcian","",183,182,12.065,53.630001,26.6,44.67,"Blattodea",18,18,19.4027,43.0557
"71","Mesoblattina protypa","species","Early Toarcian","",183,182,11.783333,49.477779,28.44,40.74,"Blattodea",18,18,20.4517,38.9757
"72","Eublattula crassivena","species","Early Toarcian","",183,182,12.105,53.615002,26.64,44.67,"Blattodea",18,18,19.4391,43.0468
"73","Blattula langfeldti","species","Early Toarcian","",183,182,12.105,53.615002,26.64,44.67,"Blattodea",18,18,19.4391,43.0468
"74","Blattula langfeldti","species","Early Toarcian","",183,182,12.065,53.630001,26.6,44.67,"Blattodea",18,18,19.4027,43.0557
"75","Blattula langfeldti","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Blattodea",18,18,20.0095,43.6848
"76","Blattula langfeldti","species","Early Toarcian","",183,182,10.68,52.27,26.23,43.1,"Blattodea",18,18,18.7357,41.5383
"77","Blattula dubia","species","Early Toarcian","",183,182,12.065,53.630001,26.6,44.67,"Blattodea",18,18,19.4027,43.0557
"78","Blattula dubia","species","Early Toarcian","",183,182,13.05,54.133331,27.09,45.36,"Blattodea",18,18,20.0095,43.6848
"79","Blattula dubia","species","Early Toarcian","",183,182,12.105,53.615002,26.64,44.67,"Blattodea",18,18,19.4391,43.0468
"151","Mesoblattina multivenosa","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,77.6308,42.7923
"152","Blattula shurabica","species","Toarcian","",182.7,174.1,70.5,40.029999,87.77,44.86,"Blattodea",18,17,76.1221,42.191
"153","Blattodea","order","Toarcian","",182.7,174.1,70.5,40.029999,87.77,44.86,"Blattodea",18,17,76.1221,42.191
"154","Blattula kiensis","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,77.6308,42.7923
"155","Blattula turanica","species","Pliensbachian","",190.8,182.7,72.128998,40.25,87.75,51.56,"Blattodea",19,18,77.6308,42.7923
