x,y,insect.M.distribution70t3.2_PA1_RUN2 logistic values
-151.3,81.3,0.094415784
-87.9,79.7,0.62578875
173.7,79.1,0.108275376
-4.89999999999998,66.5,0.05401559
0.5,63.5,1.5817123E-4
-13.3,60.3,0.002052223
67.5,57.1,0.2946891
-42.5,54.3,0.045533326
-43.5,45.7,0.030577049
69.5,45.7,0.028742773
12.9,44.7,0.40977514
2.90000000000001,41.1,0.6375167
39.5,41.1,0.48460826
41.1,39.9,0.5164018
-2.29999999999998,30.1,0.64352465
74.1,27.5,0.1107232
84.5,26.5,5.0197476E-5
-3.5,23.5,0.4074807
49.1,20.9,0.16516322
7.5,20.3,0.42168367
10.3,11.1,0.00581973
80.3,10.9,0.6587919
23.9,10.3,0.20060368
-16.7,9.3,0.13780455
-14.9,9.09999999999999,0.06769364
-18.1,7.3,0.2819196
-8.09999999999999,3.89999999999999,0.04151083
-46.9,-0.5,0.0023723196
-36.9,-2.10000000000001,0.011163513
51.9,-3.5,0.66365564
2.70000000000002,-8.30000000000001,0.076748855
-49.3,-9.10000000000001,0.13998622
36.9,-12.1,0.6448566
60.7,-13.1,0.64409316
-34.9,-14.3,0.09010649
-54.3,-15.3,0.07898644
-36.3,-15.3,0.048817884
-43.5,-16.1,0.010569779
4.90000000000001,-18.5,0.01530105
58.1,-19.5,0.030545369
9.10000000000002,-20.1,7.181937E-5
-28.7,-22.7,7.665941E-6
62.9,-24.1,0.021649243
7.70000000000002,-24.9,7.713893E-6
57.5,-27.9,0.0027355168
35.9,-32.7,0.15807997
-36.7,-33.9,0.4668864
101.3,-49.3,0.30800253
131.7,-49.7,0.028498368
109.9,-52.1,0.001188249
103.7,-52.7,0.0062723556
141.5,-56.1,0.14283562
146.7,-56.5,0.1651186
110.1,-60.3,0.20754625
145.1,-60.3,0.5075049
120.1,-69.5,0.42257702
118.3,-70.9,0.53175324
23.1,-77.1,6.032497E-6
35.7,-80.1,0.06312449
58.7,-80.5,5.1681645E-6
