x,y,insect.M.distribution170t1.3_PA1_RUN1 logistic values
91.9,80.1,0.4368875
76.1,78.7,0.42801902
155.9,72.5,0.5751124
86.9,63.1,0.4647313
89.1,62.9,0.47094157
58.1,58.7,0.3932022
117.1,58.1,0.6493901
27.3,56.9,0.4182814
71.3,55.9,0.37539318
53.5,54.3,0.4142348
20.7,52.1,0.4334854
104.3,50.9,0.6177202
96.7,49.9,0.60933244
38.9,47.3,0.42760086
56.3,47.1,0.37695727
-16.3,43.7,0.4667346
65.7,40.1,0.37617117
76.7,39.3,0.6157641
-16.3,38.3,0.3812583
-27.9,30.5,0.3592068
-20.7,25.3,0.38542265
-48.1,21.7,0.46757886
100.9,15.5,0.44600743
-4.89999999999998,13.7,0.41820148
-3.89999999999998,12.5,0.42130625
20.9,12.5,0.37985337
84.3,11.3,0.44161832
-6.09999999999999,11.1,0.4453473
-18.3,8.69999999999999,0.5158502
37.7,6.09999999999999,0.39814952
22.3,4.89999999999999,0.42597473
-10.5,2.69999999999999,0.52804554
23.9,-0.700000000000003,0.44928473
-31.3,-0.900000000000006,0.433202
42.1,-7.5,0.39889294
8.90000000000001,-9.90000000000001,0.43804675
-9.69999999999999,-10.1,0.61344475
-4.5,-10.9,0.59609985
22.1,-12.3,0.38791266
-1.29999999999998,-12.5,0.54244477
29.7,-13.3,0.38828522
-35.5,-18.5,0.680687
-11.1,-19.7,0.6034372
43.7,-22.7,0.38903734
-4.5,-25.9,0.53740525
-9.5,-30.1,0.6089855
-14.3,-30.7,0.558366
43.9,-33.7,0.3743899
25.5,-36.1,0.42583263
36.7,-36.7,0.4239734
-11.7,-42.9,0.63688046
61.9,-46.3,0.46124545
49.1,-50.1,0.47146082
59.7,-59.7,0.41283363
60.1,-61.1,0.4205635
4.30000000000001,-62.7,0.4444609
1.5,-63.9,0.45525622
2.10000000000002,-65.3,0.44002366
27.5,-69.7,0.4018491
60.1,-76.5,0.42076287
